n,av,av/n,av/n^2,av/nlogn
1000,1663.2666666666667,1.6632666666666667,0.0016632666666666666,0.16689771915157037
1100,1829.5333333333333,1.6632121212121211,0.0015120110192837464,0.1646208791387024
1200,1996.1666666666667,1.6634722222222222,0.0013862268518518518,0.16262603459457536
1300,2163.7,1.6643846153846154,0.0012802958579881656,0.16089878230484203
1400,2330.1,1.6643571428571429,0.001188826530612245,0.15925016967390912
1500,2496.633333333333,1.6644222222222222,0.0011096148148148147,0.15775397287783208
1600,2663.0666666666666,1.6644166666666667,0.0010402604166666665,0.15637346437145855
1700,2829.3,1.664294117647059,0.0009789965397923876,0.15508756312578698
1800,2997.0,1.665,0.000925,0.15397019512030763
1900,3163.233333333333,1.664859649122807,0.000876241920590951,0.15285463744849004
2000,3330.6,1.6653,0.00083265,0.151863282804976
2100,3496.9333333333334,1.6652063492063491,0.0007929554043839759,0.15088620455482882
2200,3663.6666666666665,1.6653030303030303,0.0007569559228650137,0.14998287525622556
2300,3829.9666666666667,1.6652028985507246,0.0007240012602394455,0.14911261285333577
2400,3996.1,1.6650416666666665,0.0006937673611111111,0.14828288821476515
2500,4163.433333333333,1.6653733333333334,0.0006661493333333334,0.14753860457594395
2600,4330.033333333334,1.6653974358974362,0.0006405374753451677,0.14680483032317201
2700,4496.133333333333,1.6652345679012346,0.0006167535436671238,0.14608930711188622
2800,4663.3,1.6654642857142858,0.0005948086734693877,0.14544001236632445
2900,4830.333333333333,1.665632183908046,0.0005743559254855331,0.14481444634726803
3000,4995.966666666666,1.6653222222222221,0.0005551074074074074,0.1441744203352795
3100,5163.266666666666,1.6655698924731182,0.0005372806104751994,0.14360772142132577
3200,5330.1,1.66565625,0.000520517578125,0.14305022518765972
3300,5496.7,1.6656666666666666,0.0005047474747474748,0.14250778539240536
3400,5663.4,1.6657058823529411,0.0004899134948096886,0.14198794508509707
3500,5830.2,1.6657714285714285,0.000475934693877551,0.14148914739924803
3600,5996.133333333333,1.6655925925925925,0.00046266460905349796,0.14098725595416295
3700,6163.133333333333,1.6657117117117117,0.00045019235451667885,0.14052714171733993
3800,6330.6,1.6659473684210526,0.0004384072022160665,0.14009230322362762
3900,6497.033333333334,1.665905982905983,0.00042715538023230335,0.13964874645517283
4000,6663.533333333334,1.6658833333333334,0.0004164708333333334,0.13922057206636146
4100,6830.533333333334,1.6659837398373984,0.0004063374975213167,0.13881568836361757
4200,6997.033333333334,1.6659603174603175,0.00039665721844293276,0.13841278558185258
4300,7163.5,1.6659302325581395,0.0003874256354786371,0.1380210057729748
4400,7329.466666666666,1.6657878787878786,0.0003785881542699724,0.13763102267386582
4500,7496.433333333333,1.665874074074074,0.0003701942386831276,0.13727043346214046
4600,7663.433333333333,1.665963768115942,0.00036216603654694394,0.13692007196174652
4700,7829.466666666666,1.6658439716312057,0.00035443488758110756,0.13656199343198155
4800,7996.833333333333,1.6660069444444443,0.00034708478009259257,0.1362361309469122
4900,8163.533333333334,1.666027210884354,0.0003400055532417049,0.13590718574084998
5000,8329.7,1.6659400000000002,0.00033318800000000005,0.13557771768589238
5100,8495.6,1.6658039215686276,0.0003266282199154172,0.13525217958641836
5200,8662.666666666666,1.6658974358974359,0.00032036489151873764,0.13495281126801037
5300,8829.766666666666,1.665993710691824,0.0003143384359795894,0.1346608299345821
5400,8996.633333333333,1.6660432098765432,0.000308526520347508,0.13437193729231
5500,9163.833333333334,1.6661515151515152,0.00030293663911845734,0.1340943713267056
5600,9329.6,1.6660000000000001,0.0002975,0.13380224502151505
5700,9496.833333333334,1.6661111111111113,0.0002923001949317739,0.13353730883658155
5800,9663.2,1.6660689655172416,0.00028725326991676576,0.1332659305089376
5900,9830.166666666666,1.6661299435028247,0.0002823949056784449,0.1330084257138125
6000,9996.866666666667,1.6661444444444444,0.00027769074074074075,0.13275261408228373
6100,10163.666666666666,1.666174863387978,0.0002731434202275374,0.13250327811914198
6200,10330.466666666667,1.666204301075269,0.0002687426292056885,0.13225887898577146
6300,10496.466666666667,1.66610582010582,0.00026446124128663815,0.13200917929673903
6400,10663.166666666666,1.6661197916666666,0.00026033121744791665,0.13177307355125428
6500,10829.9,1.6661384615384616,0.00025632899408284024,0.13154184397573626
6600,10996.3,1.6661060606060605,0.0002524403122130395,0.13131093886182038
6700,11162.7,1.6660746268656716,0.0002486678547560704,0.1310843262518564
6800,11330.333333333334,1.6662254901960785,0.00024503316032295275,0.1308761084484364
6900,11496.8,1.6662028985507245,0.00024147868094938037,0.1306581841251043
7000,11663.5,1.6662142857142856,0.00023803061224489795,0.13044673347314056
7100,11830.566666666668,1.6662769953051644,0.00023468690074720627,0.13024297807456536
7200,11996.8,1.666222222222222,0.00023141975308641974,0.1300336097017407
7300,12163.566666666668,1.6662420091324202,0.00022825233001813976,0.12983352490727026
7400,12330.2,1.6662432432432432,0.00022516800584368153,0.12963534691675857
7500,12496.733333333334,1.6662311111111112,0.00022216414814814816,0.1294393843244555
7600,12662.9,1.666171052631579,0.00021923303324099721,0.12924286436915905
7700,12830.4,1.6662857142857141,0.00021640074211502782,0.12906295597144937
7800,12996.366666666667,1.6662008547008547,0.00021361549419241727,0.12887056643463815
7900,13163.8,1.6663037974683543,0.00021092453132510815,0.12869559174802944
8000,13330.033333333333,1.6662541666666666,0.00020828177083333333,0.12851163725111228
8100,13496.433333333332,1.6662263374485595,0.00020570695524056292,0.12833210431013917
8200,13663.7,1.6663048780487806,0.00020320791195716837,0.1281634153112289
8300,13829.933333333332,1.6662570281124498,0.00020075385880872888,0.12798758639781554
