n,av,av/n,av/n^2,av/nlogn
1000,498544.0,498.544,0.498544,50.02556605276794
1100,603283.4,548.4394545454546,0.4985813223140496,54.28326550183224
1200,718296.1666666666,598.5801388888889,0.4988167824074074,58.518990022284804
1300,843244.1,648.6493076923077,0.49896100591715975,62.70598922019802
1400,978306.6,698.7904285714286,0.49913602040816324,66.8621484241471
1500,1122216.2,748.1441333333333,0.49876275555555555,70.90911653474564
1600,1277578.1,798.4863125,0.4990539453125,75.01851756199834
1700,1442624.7666666666,848.6028039215686,0.49917811995386385,79.0772132920653
1800,1617264.5,898.4802777777778,0.49915570987654323,83.08659680552111
1900,1801946.8,948.3930526315789,0.49915423822714683,87.07417246555744
2000,1996840.6666666667,998.4203333333334,0.4992101666666667,91.04869359228871
2100,2202185.566666667,1048.6597936507937,0.499361806500378,95.02023350357217
2200,2416495.466666667,1098.4070303030303,0.4992759228650138,98.92628645281627
2300,2641934.6,1148.6672173913043,0.49942052930056713,102.8587989086848
2400,2876696.066666667,1198.6233611111113,0.499426400462963,106.74527696538826
2500,3121766.566666667,1248.7066266666668,0.4994826506666667,110.62530517069298
2600,3375790.2666666666,1298.3808717948718,0.49937725838264296,114.45230998328316
2700,3641154.8666666667,1348.57587654321,0.4994725468678555,118.30916748281615
2800,3916208.933333333,1398.6460476190475,0.49951644557823127,122.13957405552081
2900,4200745.8,1448.5330344827585,0.49949414982164086,125.93927484768714
3000,4495701.7,1498.5672333333334,0.4995224111111111,129.73769239142857
3100,4800981.333333333,1548.7036559139783,0.4995818244883801,133.53135415557048
3200,5115113.866666666,1598.4730833333333,0.4995228385416666,137.28038695093665
3300,5440497.3,1648.6355454545453,0.49958652892561983,141.05067070357865
3400,5775119.933333334,1698.5646862745098,0.4995778489042676,144.78889217678125
3500,6119218.766666667,1748.348219047619,0.499528062585034,148.50314672655225
3600,6474101.966666667,1798.3616574074074,0.49954490483539093,152.22574621107765
3700,6838990.433333334,1848.375792792793,0.4995610250791332,155.93752817753395
3800,7213945.233333333,1898.4066403508773,0.4995806948291782,159.64019256733584
3900,7598996.5,1948.460641025641,0.4996052925706772,163.33459920818922
4000,7992401.433333334,1998.1003583333334,0.49952508958333336,166.98448766910556
4100,8399318.533333333,2048.6142764227643,0.49966201863969856,170.69782505855432
4200,8813878.066666666,2098.5423968253967,0.4996529516250945,174.3529517251778
4300,9238052.533333333,2148.3843100775193,0.4996242581575626,177.9919455621197
4400,9674279.966666667,2198.6999924242423,0.4997045437327824,181.66138219865374
4500,10118009.5,2248.4465555555557,0.4996547901234568,185.27524865234423
4600,10573126.8,2298.505826086957,0.499675179584121,188.9066191806985
4700,11036180.066666666,2348.1234184397163,0.4996007273275992,192.49366705841595
4800,11513736.433333334,2398.695090277778,0.4997281438078704,196.1510061590839
4900,11995714.466666667,2448.104993197279,0.499613263917812,199.70565777671447
5000,12492911.766666668,2498.5823533333337,0.4997164706666667,203.3399119507181
5100,12998237.5,2548.674019607843,0.49974000384467515,206.93534919922283
5200,13513046.7,2598.662826923077,0.4997428513313609,210.51527331394223
5300,14037091.933333334,2648.5079119496854,0.49971847395277086,214.07660258414086
5400,14570879.5,2698.3110185185187,0.4996872256515775,217.62777629422175
5500,15118028.033333333,2748.7323696969697,0.4997695217630854,221.22210117629206
5600,15670665.866666667,2798.3331904761903,0.4997023554421769,224.74385546454573
5700,16237559.233333332,2848.694602339181,0.499770982866523,228.32031330730447
5800,16811908.966666665,2898.6049942528734,0.49975948176773677,231.85432279931953
5900,17396864.1,2948.6210338983055,0.49976627693191616,235.39066882197406
6000,17990213.333333332,2998.3688888888887,0.4997281481481481,238.89964001033204
6100,18595306.1,3048.410836065574,0.49973948132222523,242.4261928974659
6200,19210991.766666666,3098.547059139785,0.4997656546999653,245.95444884040913
6300,19838032.7,3148.894079365079,0.49982445704207606,249.49371047929193
6400,20470306.533333335,3198.4853958333338,0.49976334309895837,252.9675557698921
6500,21116156.8,3248.6395076923077,0.49979069349112426,256.4805033428548
6600,21770424.3,3298.5491363636365,0.49978017217630855,259.96879443569105
6700,22435494.4,3348.581253731343,0.4997882468255736,263.46149834281107
6800,23111587.5,3398.762867647059,0.4998180687716263,266.96078068302137
6900,23796579.733333334,3448.779671497585,0.4998231407967514,270.4420270288769
