n,av,av/n,av/n^2,av/nlogn
1,0.0,0.0,0.0,NaN
2,0.0,0.0,0.0,0.0
3,1.0,0.3333333333333333,0.1111111111111111,0.2103099178571525
4,1.0,0.25,0.0625,0.125
5,2.6666666666666665,0.5333333333333333,0.10666666666666666,0.22969416430580963
6,6.333333333333333,1.0555555555555556,0.17592592592592593,0.4083446298586828
7,6.333333333333333,0.9047619047619048,0.1292517006802721,0.32228269309773433
8,9.666666666666666,1.2083333333333333,0.15104166666666666,0.40277777777777773
9,17.0,1.8888888888888888,0.20987654320987653,0.5958781005952654
10,14.333333333333334,1.4333333333333333,0.14333333333333334,0.431476327118373
11,24.333333333333332,2.212121212121212,0.20110192837465563,0.6394464339759337
12,28.333333333333332,2.361111111111111,0.19675925925925924,0.6586152883429455
13,31.333333333333332,2.41025641025641,0.1854043392504931,0.6513432440043091
14,37.333333333333336,2.666666666666667,0.1904761904761905,0.7003987600991829
15,50.0,3.3333333333333335,0.2222222222222222,0.8531934160327183
16,61.333333333333336,3.8333333333333335,0.23958333333333334,0.9583333333333334
17,53.0,3.1176470588235294,0.18339100346020762,0.7627340430744695
18,70.33333333333333,3.907407407407407,0.2170781893004115,0.9370450082569581
19,69.66666666666667,3.666666666666667,0.1929824561403509,0.8631660156776737
20,67.66666666666667,3.3833333333333337,0.1691666666666667,0.7828296211905186
21,93.33333333333333,4.444444444444445,0.21164021164021163,1.0118677719864577
22,92.0,4.181818181818182,0.19008264462809918,0.9377469012734974
23,116.33333333333333,5.057971014492753,0.21991178323881536,1.1181389939227362
24,121.33333333333333,5.055555555555555,0.21064814814814814,1.1026383650379652
25,133.33333333333334,5.333333333333334,0.21333333333333335,1.1484708215290482
26,133.66666666666666,5.1410256410256405,0.1977317554240631,1.0937329163448541
27,147.66666666666666,5.469135802469135,0.20256058527663465,1.1502135013668957
28,169.0,6.035714285714286,0.21556122448979592,1.255516678833218
29,186.66666666666666,6.4367816091954015,0.22195798652397938,1.324991105492452
30,219.33333333333334,7.311111111111112,0.24370370370370373,1.489968233172812
31,193.33333333333334,6.236559139784947,0.201179327089837,1.2588437657808378
32,202.66666666666666,6.333333333333333,0.19791666666666666,1.2666666666666666
33,215.0,6.515151515151516,0.19742883379247014,1.2915627448991065
34,265.3333333333333,7.803921568627451,0.22952710495963088,1.533951561346341
35,273.6666666666667,7.81904761904762,0.2234013605442177,1.5243938759504627
36,324.3333333333333,9.00925925925926,0.2502572016460905,1.7426286177741157
37,320.6666666666667,8.666666666666668,0.23423423423423426,1.6636422400568547
38,332.0,8.736842105263158,0.2299168975069252,1.6648176033075992
39,322.6666666666667,8.273504273504274,0.2121411352180583,1.5653499830113693
40,362.6666666666667,9.066666666666666,0.22666666666666668,1.7036432106959087
41,438.0,10.682926829268293,0.26055919095776325,1.9939940517721266
42,402.3333333333333,9.579365079365079,0.2280801209372638,1.7764838989075415
43,452.3333333333333,10.51937984496124,0.24463674058049395,1.9386042370759247
44,470.3333333333333,10.68939393939394,0.24294077134986225,1.9579682805995229
45,504.0,11.2,0.24888888888888888,2.0393844852633083
46,515.3333333333334,11.202898550724639,0.24354127284183996,2.028201845086538
47,519.0,11.042553191489361,0.2349479402444545,1.9880055007409252
48,571.3333333333334,11.902777777777779,0.24797453703703706,2.1312189251478117
49,526.3333333333334,10.741496598639456,0.21921421629876442,1.9130991443658745
50,574.0,11.48,0.2296,2.034070255156205
51,634.0,12.431372549019608,0.2437524029219531,2.1915444980892405
52,636.6666666666666,12.243589743589743,0.23545364891518736,2.147832509240597
53,728.6666666666666,13.748427672955975,0.2594042957161505,2.4002476609121146
54,750.3333333333334,13.895061728395062,0.2573159579332419,2.4144801654543917
55,749.3333333333334,13.624242424242425,0.24771349862258954,2.356580994669899
56,692.3333333333334,12.363095238095239,0.22076955782312926,2.1288685475615585
57,799.0,14.017543859649123,0.24592182209910743,2.403190155413278
58,740.3333333333334,12.764367816091955,0.22007530717399923,2.178970506512198
59,915.3333333333334,15.514124293785311,0.2629512592167002,2.6372710639766437
60,817.6666666666666,13.627777777777776,0.22712962962962963,2.30709838911006
61,872.0,14.295081967213115,0.23434560601988713,2.4103380665122125
62,829.6666666666666,13.381720430107526,0.21583420048560525,2.247443606581061
63,887.3333333333334,14.084656084656086,0.22356596959771563,2.35636548144277
64,942.6666666666666,14.729166666666666,0.23014322916666666,2.454861111111111
65,974.0,14.984615384615385,0.23053254437869822,2.4881601140665146
66,1043.3333333333333,15.808080808080806,0.23951637588001223,2.61532926144774
67,1076.3333333333333,16.06467661691542,0.2397712927897824,2.6482757032629642
68,1083.0,15.926470588235293,0.23421280276816608,2.616273972189712
69,1081.3333333333333,15.671497584541061,0.22712315339914582,2.565512783885408
70,1194.0,17.057142857142857,0.2436734693877551,2.782893661458741
71,1300.6666666666667,18.31924882629108,0.2580175891026913,2.978862133727308
72,1243.6666666666667,17.27314814814815,0.2399048353909465,2.799571817179349
73,1310.6666666666667,17.95433789954338,0.24594983424032027,2.9006214519902365
74,1352.0,18.27027027027027,0.2468955441928415,2.942331505604228
75,1294.3333333333333,17.257777777777775,0.2301037037037037,2.7706341499569116
76,1488.6666666666667,19.587719298245617,0.2577331486611265,3.1350746717369833
77,1402.6666666666667,18.216450216450216,0.2365772755383145,2.906824749519913
78,1460.6666666666667,18.726495726495727,0.240083278544817,2.9793631456549017
79,1512.0,19.139240506329113,0.24226886716872295,3.0361526313972305
80,1556.6666666666667,19.458333333333336,0.2432291666666667,3.0779112070365966
81,1549.0,19.123456790123456,0.23609205913732662,3.016389470006752
